2007-01-07 18:30:00,AUD,Low Impact Expected,AIG Construction Index,52.1,,47.6
2007-01-07 00:00:00,JPY,Non-Economic,Bank Holiday,,,
2007-01-07 20:30:00,AUD,High Impact Expected,Building Approvals m/m,4.1%,2.0%,-6.8%
2007-01-07 20:30:00,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,12.1%,,-3.8%
2007-01-08 02:45:00,CHF,Low Impact Expected,Unemployment Rate,3.1%,3.1%,3.1%
2007-01-08 03:00:00,EUR,Medium Impact Expected,German Retail Sales m/m,-0.3%,0.6%,-0.5%
2007-01-08 07:00:00,EUR,Medium Impact Expected,German Factory Orders m/m,1.5%,1.5%,-0.7%
2007-01-08 11:30:00,CAD,High Impact Expected,BOC Business Outlook Survey,,,
2007-01-08 13:45:00,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
2007-01-08 16:00:00,USD,Low Impact Expected,Consumer Credit m/m,12.3B,5.4B,-1.3B
2007-01-08 20:01:00,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,2.5%,,0.5%
2007-01-08 20:30:00,AUD,High Impact Expected,Retail Sales m/m,0.2%,0.3%,0.8%
2007-01-09 03:00:00,EUR,Low Impact Expected,German Trade Balance,19.3B,15.3B,17.2B
2007-01-09 07:00:00,EUR,Medium Impact Expected,German Industrial Production m/m,1.8%,1.0%,-0.8%
2007-01-09 08:30:00,USD,Low Impact Expected,NFIB Small Business Index,96.5,,99.7
2007-01-09 09:15:00,CAD,High Impact Expected,Housing Starts,212K,230K,229K
2007-01-09 11:00:00,USD,Low Impact Expected,IBD/TIPP Economic Optimism,53.7,53.7,53.5
2007-01-09 19:30:00,AUD,Low Impact Expected,Westpac Consumer Sentiment,7.3%,,11.8%
2007-01-09 20:01:00,GBP,Low Impact Expected,Nationwide Consumer Confidence,83,89,89
2007-01-09 20:30:00,AUD,Medium Impact Expected,Trade Balance,-0.84B,-0.73B,-1.51
2007-01-09 23:45:00,JPY,Low Impact Expected,10-y Bond Auction,1.73|2.5,,1.64|2.3
2007-01-10 03:00:00,EUR,Low Impact Expected,German WPI m/m,0.0%,0.2%,0.1%
2007-01-10 03:45:00,EUR,Medium Impact Expected,French Industrial Production m/m,-0.2%,0.7%,0.0%
2007-01-10 03:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-54.9B,,-48.2B
2007-01-10 03:45:00,EUR,Low Impact Expected,French Trade Balance,-2.8B,-2.3B,-2.8B
